text,likes,time,text_original,text_clean,sentiment,confidence,analysis
Makro stabil tapi mikro awut2an? 😂😂😂,0,2 hours ago,Makro stabil tapi mikro awut2an? 😂😂😂,makro stabil mikro awut2an,POSITIVE,0.4211,Lainnya
Rakyat di rampok pemerintah,0,3 hours ago,Rakyat di rampok pemerintah,rakyat rampok pemerintah,POSITIVE,0.2532,Lainnya
"Yg satu kerja keras buat perbaiki ekonomi negara, yg satu buang2 uang negara. 😂😂",0,3 hours ago,"Yg satu kerja keras buat perbaiki ekonomi negara, yg satu buang2 uang negara. 😂😂",satu kerja keras buat perbaiki ekonomi negara satu buang2 uang negara,POSITIVE,0.423,Apresiasi individu
"Mereka memprediksi begitu, tapi justru menjadi kekuatan dan keberanian bapak buat menguatkan ekonomi kita, semangat pak kerjanya.",0,3 hours ago (edited),"Mereka memprediksi begitu, tapi justru menjadi kekuatan dan keberanian bapak buat menguatkan ekonomi kita, semangat pak kerjanya.",memprediksi begitu justru menjadi kekuatan keberanian bapak buat menguatkan ekonomi semangat pak kerjanya,POSITIVE,0.5878,Optimisme ekonomi
"Ini manusia yg ngga pernah mau d kritik selalu nyolot, buktikan saja jgn lebay",0,3 hours ago,"Ini manusia yg ngga pernah mau d kritik selalu nyolot, buktikan saja jgn lebay",manusia pernah mau d kritik selalu nyolot buktikan jgn lebay,NEGATIVE,0.5918,Lainnya
Mau ngutang kali kah,0,4 hours ago,Mau ngutang kali kah,mau ngutang kali,NEGATIVE,0.3082,Kekhawatiran ekonomi
Ya Allah lindunggi dan berkahi bapak2 pemimpin kami NKRI  tentang ekonomi masyarakat indonesia dan masyarakat nkri makmur dan sejahtera di pimpin bapak purbaya ekonomi dan negara oleh bapak prabowo❤,0,4 hours ago,Ya Allah lindunggi dan berkahi bapak2 pemimpin kami NKRI  tentang ekonomi masyarakat indonesia dan masyarakat nkri makmur dan sejahtera di pimpin bapak purbaya ekonomi dan negara oleh bapak prabowo❤,allah lindunggi berkahi bapak2 pemimpin nkri tentang ekonomi masyarakat indonesia masyarakat nkri makmur sejahtera pimpin bapak purbaya ekonomi negara bapak prabowo,POSITIVE,0.3408,Apresiasi individu
"Kenyataannya rakyat hidup makin susah, berarti yang tumbuh hanya sektor yg mengeruk sumber daya alam dengan exploitasi/pemerasan maksimum dan uangnya dilarikan keluar negeri sehingga tidak terjadi trickle down effect.",0,4 hours ago,"Kenyataannya rakyat hidup makin susah, berarti yang tumbuh hanya sektor yg mengeruk sumber daya alam dengan exploitasi/pemerasan maksimum dan uangnya dilarikan keluar negeri sehingga tidak terjadi trickle down effect.",kenyataannya rakyat hidup makin susah berarti tumbuh hanya sektor mengeruk sumber daya alam exploitasi pemerasan maksimum uangnya dilarikan keluar negeri sehingga terjadi trickle down effect,NEGATIVE,0.521,Kekhawatiran ekonomi
Indonesia Menuju Kemenangan,0,4 hours ago,Indonesia Menuju Kemenangan,indonesia menuju kemenangan,POSITIVE,0.5238,Lainnya
World bank jelek 😂,0,5 hours ago,World bank jelek 😂,world bank jelek,POSITIVE,0.3085,Lainnya
"Ya Allah pak purbaya semakin kurus aja, semoga selalu di beri kesehatan untuk pak pur  demi Indonesia lebih baik lagi.",0,5 hours ago,"Ya Allah pak purbaya semakin kurus aja, semoga selalu di beri kesehatan untuk pak pur  demi Indonesia lebih baik lagi.",allah pak purbaya semakin kurus aja semoga selalu beri kesehatan pak pur demi indonesia baik sedang,POSITIVE,0.3295,Apresiasi individu
Optimis pengawasan lebih baik lagi,0,6 hours ago,Optimis pengawasan lebih baik lagi,optimis pengawasan baik sedang,POSITIVE,0.3891,Optimisme ekonomi
"kalo mrk percaya pondasi RI bagus, knp mrk rilis sentimen negatif? kan kontradiktif",0,6 hours ago,"kalo mrk percaya pondasi RI bagus, knp mrk rilis sentimen negatif? kan kontradiktif",mrk percaya pondasi ri bagus knp mrk rilis sentimen negatif kontradiktif,NEGATIVE,0.5366,Lainnya
"Kamu melanggar kosekwensinya cuku cuma minta ma af doang selesai,,sedangkan para pensiunan, banyak sekali aturan yg harus di lalui ,sampai sekarang Masi di tahan tahan,belum cair juga, apa benarnya aturan dan kebijaksanaan,",0,6 hours ago,"Kamu melanggar kosekwensinya cuku cuma minta ma af doang selesai,,sedangkan para pensiunan, banyak sekali aturan yg harus di lalui ,sampai sekarang Masi di tahan tahan,belum cair juga, apa benarnya aturan dan kebijaksanaan,",kamu melanggar kosekwensinya cuku cuma minta ma af doang selesai sedangkan para pensiunan banyak sekali aturan lalui sampai sekarang tahan tahan cair apa benarnya aturan kebijaksanaan,NEGATIVE,0.58,Kritik kebijakan
Sekarang di tolak gak tau nanti 😂,2,7 hours ago,Sekarang di tolak gak tau nanti 😂,sekarang tolak tau nanti,NEGATIVE,0.2828,Lainnya
Buat siapa uangnya? I'm fairy. Hasil pungutan minus lowongan kerja buat sarjana di rumah earth,0,7 hours ago,Buat siapa uangnya? I'm fairy. Hasil pungutan minus lowongan kerja buat sarjana di rumah earth,buat siapa uangnya i m fairy hasil pungutan minus lowongan kerja buat sarjana rumah earth,NEGATIVE,0.3313,Lainnya
Cuma omon omon doang keyataanya sekarang lebih parah,0,7 hours ago,Cuma omon omon doang keyataanya sekarang lebih parah,cuma omon omon doang keyataanya sekarang parah,NEGATIVE,0.3983,Lainnya
Orang-orang di belakang Pak Pur ini juga bener berarti.,0,7 hours ago,Orang-orang di belakang Pak Pur ini juga bener berarti.,orang orang belakang pak pur bener berarti,NEUTRAL,0.2398,
Sehat selalu ya pak Purbaya. Terlihat lebih kurus sekarang dibanding awal menjabat.,0,7 hours ago,Sehat selalu ya pak Purbaya. Terlihat lebih kurus sekarang dibanding awal menjabat.,sehat selalu pak purbaya terlihat kurus sekarang dibanding awal menjabat,POSITIVE,0.2904,Apresiasi individu
Sehat terus pak purbaya.,1,7 hours ago,Sehat terus pak purbaya.,sehat terus pak purbaya,POSITIVE,0.5177,Apresiasi individu
Bacod banget ni menteri 1,0,7 hours ago,Bacod banget ni menteri 1,bacod banget menteri 1,POSITIVE,0.2287,Apresiasi individu
😂😂😂pejabat rekayasa mantap india nesia 😂😂😂,0,7 hours ago,😂😂😂pejabat rekayasa mantap india nesia 😂😂😂,pejabat rekayasa mantap india nesia,NEGATIVE,0.2812,Lainnya
Sri Mulyani ker nyah apa selama ber tugas,0,7 hours ago,Sri Mulyani ker nyah apa selama ber tugas,sri mulyani ker nyah apa selama ber tugas,POSITIVE,0.2472,Lainnya
Pak purbaya is the best,0,7 hours ago,Pak purbaya is the best,pak purbaya is the best,POSITIVE,0.6776,Apresiasi individu
Jos pak purbaya,1,8 hours ago,Jos pak purbaya,jos pak purbaya,NEUTRAL,0.2692,
Ini baru purbayabro brooo,0,8 hours ago,Ini baru purbayabro brooo,baru purbayabro brooo,POSITIVE,0.3518,Apresiasi individu
Semoga pak purbaya sehat selalu,1,8 hours ago,Semoga pak purbaya sehat selalu,semoga pak purbaya sehat selalu,POSITIVE,0.6236,Apresiasi individu
"Tetap aja gak ngaruh ke masyarakat menengah kebawah apapun yang dilakukan Mentri keuangan, hanya teori dan teori saja",0,8 hours ago,"Tetap aja gak ngaruh ke masyarakat menengah kebawah apapun yang dilakukan Mentri keuangan, hanya teori dan teori saja",tetap aja ngaruh masyarakat menengah kebawah apapun dilakukan mentri keuangan hanya teori teori,NEGATIVE,0.277,Lainnya
"World bank ini wajib digertak, tuman",1,9 hours ago,"World bank ini wajib digertak, tuman",world bank wajib digertak tuman,NEGATIVE,0.3596,Kepercayaan pihak eksternal
Alhamdulillaah,1,9 hours ago,Alhamdulillaah,alhamdulillaah,NEUTRAL,0.2236,
"Disaat Mentri Mentri lain takut menumpas para mafia yang merugikan negara, cuman pak Purbaya yang berani menumpas semuanya, semoga Allah memberikan kesehatan kepada bapak❤",1,9 hours ago (edited),"Disaat Mentri Mentri lain takut menumpas para mafia yang merugikan negara, cuman pak Purbaya yang berani menumpas semuanya, semoga Allah memberikan kesehatan kepada bapak❤",disaat mentri mentri lain takut menumpas para mafia merugikan negara cuman pak purbaya berani menumpas semuanya semoga allah memberikan kesehatan kepada bapak,NEGATIVE,0.5702,Lainnya
"Whoosh gak pake APBN ternyata omon², atasi rupiah melemah katanya gampang ternyata omon², pengadaan motor BGN triliunan ngaku gak ngerti, apa lagi yok Pak omon²nya? Buat pendukungnya silahkan sini bantah 😂",0,9 hours ago,"Whoosh gak pake APBN ternyata omon², atasi rupiah melemah katanya gampang ternyata omon², pengadaan motor BGN triliunan ngaku gak ngerti, apa lagi yok Pak omon²nya? Buat pendukungnya silahkan sini bantah 😂",whoosh pake apbn ternyata omon atasi rupiah melemah katanya gampang ternyata omon pengadaan motor bgn triliunan ngaku ngerti apa sedang yok pak omon buat pendukungnya silahkan sini bantah,NEGATIVE,0.6023,Kekhawatiran ekonomi
"❤❤❤❤❤pak Purbaya, 

Rocky Gerung , gimana niihh ????? 😂😂😂",0,10 hours ago,"❤❤❤❤❤pak Purbaya, 

Rocky Gerung , gimana niihh ????? 😂😂😂",pak purbaya rocky gerung gimana niihh,NEUTRAL,0.2833,
Imf dan as(dollar as) bikin negara yg suka berhutang tambah miskin,1,11 hours ago (edited),Imf dan as(dollar as) bikin negara yg suka berhutang tambah miskin,imf as dollar as bikin negara suka berhutang tambah miskin,NEGATIVE,0.5474,Kekhawatiran ekonomi
semoga sehat walafiyah dan selamat untuk pak Purbaya dan keluarga Aaamiin ✨,2,11 hours ago,semoga sehat walafiyah dan selamat untuk pak Purbaya dan keluarga Aaamiin ✨,semoga sehat walafiyah selamat pak purbaya keluarga aaamiin,POSITIVE,0.2799,Apresiasi individu
"Tumbuh dengan  baik?
Bener2 aneh",0,11 hours ago,"Tumbuh dengan  baik?
Bener2 aneh",tumbuh baik bener2 aneh,POSITIVE,0.3348,Optimisme ekonomi
"Byr hutangnya saja sdh berat, 
byr pokok hutangnya lebih berat lagi, 
plus denda kalau tdk bayar, apalagi kalau nambah hutang lagi, nambah byr bunganya, nambah byr pokok hutangnga, dendanya juga nambah kalau tdk byr

Ingat hutangnya dlm dollar amerika, jika dollar menguat tambah besar hutangnya

Hutangnya Bkn dlm rupiah

Indonesia cuma sanggupnya byr bunganya saja, inilah jebakannya
Jika pokoknya gak sanggup dilunasi, jd hrs byr terus menerus bunganya",0,11 hours ago (edited),"Byr hutangnya saja sdh berat, 
byr pokok hutangnya lebih berat lagi, 
plus denda kalau tdk bayar, apalagi kalau nambah hutang lagi, nambah byr bunganya, nambah byr pokok hutangnga, dendanya juga nambah kalau tdk byr

Ingat hutangnya dlm dollar amerika, jika dollar menguat tambah besar hutangnya

Hutangnya Bkn dlm rupiah

Indonesia cuma sanggupnya byr bunganya saja, inilah jebakannya
Jika pokoknya gak sanggup dilunasi, jd hrs byr terus menerus bunganya",byr hutangnya berat byr pokok hutangnya berat sedang plus denda bayar apalagi nambah hutang sedang nambah byr bunganya nambah byr pokok hutangnga dendanya nambah byr ingat hutangnya dlm dollar amerika dollar menguat tambah besar hutangnya hutangnya bkn dlm rupiah indonesia cuma sanggupnya byr bunganya inilah jebakannya pokoknya sanggup dilunasi jd byr terus menerus bunganya,NEGATIVE,0.6351,Kekhawatiran ekonomi
"Hati2 pak ya jgn sampai terbuai dg ucapan mereka, tetap waspada tau kan siapa mereka",1,11 hours ago,"Hati2 pak ya jgn sampai terbuai dg ucapan mereka, tetap waspada tau kan siapa mereka",hati2 pak jgn sampai terbuai ucapan tetap waspada tau siapa,NEGATIVE,0.3585,Lainnya
IMF ADALAH JEBAKAN,0,11 hours ago,IMF ADALAH JEBAKAN,imf jebakan,NEGATIVE,0.438,Kepercayaan pihak eksternal
IMF adalah jebakan,0,11 hours ago,IMF adalah jebakan,imf jebakan,NEGATIVE,0.438,Kepercayaan pihak eksternal
imf worldbank bisnisnya soros,0,11 hours ago,imf worldbank bisnisnya soros,imf worldbank bisnisnya soros,NEGATIVE,0.3103,Kepercayaan pihak eksternal
SPG nya sudah ga ada. Ya ga didengarlah. Ekonom kita banyak yang mampu kelola negara.,1,12 hours ago,SPG nya sudah ga ada. Ya ga didengarlah. Ekonom kita banyak yang mampu kelola negara.,spg didengarlah ekonom banyak mampu kelola negara,POSITIVE,0.6518,Lainnya
Pemerintah butuh uang jangan pinjam ke negara lain tapi utang ke rakyat saja,2,13 hours ago,Pemerintah butuh uang jangan pinjam ke negara lain tapi utang ke rakyat saja,pemerintah butuh uang jangan pinjam negara lain utang rakyat,NEGATIVE,0.6455,Kekhawatiran ekonomi
Buzzer semua ini cm omon2. Buktinya semua pesimis mana bank dunia meminta maaf. Ini klaim sepihak,1,13 hours ago,Buzzer semua ini cm omon2. Buktinya semua pesimis mana bank dunia meminta maaf. Ini klaim sepihak,buzzer cm omon2 buktinya pesimis mana bank dunia meminta maaf klaim sepihak,NEGATIVE,0.8647,Kepercayaan pihak eksternal
Jangan harap negara lain bantu  kita tulis.indonesia hapus korupsi negara kita maju,2,13 hours ago,Jangan harap negara lain bantu  kita tulis.indonesia hapus korupsi negara kita maju,jangan harap negara lain bantu tulis indonesia hapus korupsi negara maju,NEGATIVE,0.5912,Lainnya
Bapak adalah pahlawan,0,13 hours ago,Bapak adalah pahlawan,bapak pahlawan,POSITIVE,0.4765,Lainnya
Semoga bapak purbaya sehat dan kuat lawan malfia,1,13 hours ago,Semoga bapak purbaya sehat dan kuat lawan malfia,semoga bapak purbaya sehat kuat lawan malfia,NEGATIVE,0.4997,Lainnya
"Siapa yang kerja? Ini orang,yg lain mengganggu",0,13 hours ago,"Siapa yang kerja? Ini orang,yg lain mengganggu",siapa kerja orang lain mengganggu,POSITIVE,0.2639,Lainnya
Ya allah sehatkan selalu pak purbaya,2,13 hours ago,Ya allah sehatkan selalu pak purbaya,allah sehatkan selalu pak purbaya,POSITIVE,0.7068,Apresiasi individu
Itu penyakit manusia kl sudah ketawan baru minta maaf yg di rugikan sudah banyak blm tentu mau memaafkan,1,13 hours ago,Itu penyakit manusia kl sudah ketawan baru minta maaf yg di rugikan sudah banyak blm tentu mau memaafkan,penyakit manusia kl ketawan baru minta maaf rugikan banyak tentu mau memaafkan,NEGATIVE,0.6509,Lainnya
Lah itu SBSN dan ORI ngurang ke siapa? 😂,0,11 hours ago,Lah itu SBSN dan ORI ngurang ke siapa? 😂,sbsn ori ngurang siapa,NEGATIVE,0.3019,Lainnya
Jangan nurut imf dan bank dunia,0,13 hours ago,Jangan nurut imf dan bank dunia,jangan nurut imf bank dunia,NEGATIVE,0.2755,Kepercayaan pihak eksternal
"s*ros kenapa bisa hidup lama? semakin lama hidup, semakin banyak membuat kerusakan di muka bumi",1,14 hours ago,"s*ros kenapa bisa hidup lama? semakin lama hidup, semakin banyak membuat kerusakan di muka bumi",s ros kenapa hidup lama semakin lama hidup semakin banyak membuat kerusakan muka bumi,NEGATIVE,0.3152,Lainnya
"Bismillah, semoga tercapai niat baiknya pak",1,14 hours ago,"Bismillah, semoga tercapai niat baiknya pak",bismillah semoga tercapai niat baiknya pak,POSITIVE,0.2442,Lainnya
"Kalau org Yg Amanah sama rakyat,pasti Alloh akan menjaga org baik",0,15 hours ago,"Kalau org Yg Amanah sama rakyat,pasti Alloh akan menjaga org baik",org amanah rakyat pasti alloh menjaga org baik,POSITIVE,0.4019,Lainnya
Gas pak pur❤❤,2,15 hours ago,Gas pak pur❤❤,gas pak pur,NEUTRAL,0.256,
Semngat pak Pur kasih paham mereka.,2,15 hours ago,Semngat pak Pur kasih paham mereka.,semngat pak pur kasih paham,NEGATIVE,0.3702,Lainnya
Waduh..latukikin bisa stres nih pk menkeu,2,15 hours ago,Waduh..latukikin bisa stres nih pk menkeu,waduh latukikin stres pk menkeu,NEGATIVE,0.3315,Lainnya
Untung menkeu jongos IMF udh diganti pak purbaya 👍,0,16 hours ago,Untung menkeu jongos IMF udh diganti pak purbaya 👍,untung menkeu jongos imf diganti pak purbaya,NEGATIVE,0.4034,Kepercayaan pihak eksternal
Assalamualaikum..Pak Purbaya Bpk. Hebat Sy penggemar Bpk,0,16 hours ago,Assalamualaikum..Pak Purbaya Bpk. Hebat Sy penggemar Bpk,assalamualaikum pak purbaya bpk hebat penggemar bpk,POSITIVE,0.2894,Dukungan terhadap pemerintah
"Assalamualaikum apakah benar Indonesia kehilangan wilayah 700 lebih hektar dengan perjanjian dengan Malaysia?pasal pulau yang di klaim sebatik, kita hanya dapat 120 lebih hektar, bagaimana ini Prabowo, tentara kok gak menjaga kedaulatan negara",2,16 hours ago,"Assalamualaikum apakah benar Indonesia kehilangan wilayah 700 lebih hektar dengan perjanjian dengan Malaysia?pasal pulau yang di klaim sebatik, kita hanya dapat 120 lebih hektar, bagaimana ini Prabowo, tentara kok gak menjaga kedaulatan negara",assalamualaikum apakah benar indonesia kehilangan wilayah 700 hektar perjanjian malaysia pasal pulau klaim sebatik hanya dapat 120 hektar bagaimana prabowo tentara kok menjaga kedaulatan negara,NEGATIVE,0.5987,Lainnya
"Hati2 pak purbaya mereka punya kepentingan,mereka orang2 licik,",1,19 hours ago,"Hati2 pak purbaya mereka punya kepentingan,mereka orang2 licik,",hati2 pak purbaya punya kepentingan orang2 licik,POSITIVE,0.3677,Apresiasi individu
dari dulu juga pengkhianat itu datang dari pemimpin jawa yang mau di setir asing. terbukti kan sekarang non jawa gak mau di setir asing,0,19 hours ago,dari dulu juga pengkhianat itu datang dari pemimpin jawa yang mau di setir asing. terbukti kan sekarang non jawa gak mau di setir asing,dulu pengkhianat datang pemimpin jawa mau setir asing terbukti sekarang non jawa mau setir asing,NEGATIVE,0.4287,Kepercayaan pihak eksternal
"di kangkangi kpala bgn pak, soal duit pengadaan motor bgn sama kaos kaki",1,19 hours ago,"di kangkangi kpala bgn pak, soal duit pengadaan motor bgn sama kaos kaki",kangkangi kpala bgn pak soal duit pengadaan motor bgn kaos kaki,NEGATIVE,0.3688,Lainnya
"3:30  bangga banget aku pak ❤ punya menteri se KERJA KERAS ini ❤ bahkan sampe bikin ekonom senior dari Amerika Serikat sampe minta maaf dan kena takluk pembuktian dari data BPS dan  data pengamat ekonomi swasta Indonesia lainnya yang tumbuh di kisaran 5,5% per April 2026 ini

I love Pak Purbaya
We Love Mr. Purbaya Yudhi Sadewa",1,20 hours ago (edited),"3:30  bangga banget aku pak ❤ punya menteri se KERJA KERAS ini ❤ bahkan sampe bikin ekonom senior dari Amerika Serikat sampe minta maaf dan kena takluk pembuktian dari data BPS dan  data pengamat ekonomi swasta Indonesia lainnya yang tumbuh di kisaran 5,5% per April 2026 ini

I love Pak Purbaya
We Love Mr. Purbaya Yudhi Sadewa",3 30 bangga banget pak punya menteri se kerja keras bahkan sampe bikin ekonom senior amerika serikat sampe minta maaf kena takluk pembuktian data bps data pengamat ekonomi swasta indonesia lainnya tumbuh kisaran 5 5 per april 2026 i love pak purbaya we love mr purbaya yudhi sadewa,NEGATIVE,0.5822,Kekhawatiran ekonomi
0:10 baru mulai aja rasanya kaya tanya jawab bimbingan Dosen atau guru BK paling Santuy sedunia 😂,1,20 hours ago (edited),0:10 baru mulai aja rasanya kaya tanya jawab bimbingan Dosen atau guru BK paling Santuy sedunia 😂,0 10 baru mulai aja rasanya kaya tanya jawab bimbingan dosen guru bk paling santuy sedunia,NEGATIVE,0.3322,Lainnya
"Keren pak Purbaya, semoga ini apa adanya bukan retorika",2,21 hours ago,"Keren pak Purbaya, semoga ini apa adanya bukan retorika",keren pak purbaya semoga apa adanya bukan retorika,NEGATIVE,0.2903,Lainnya
"npd keras, ngaku2 sendiri",0,21 hours ago,"npd keras, ngaku2 sendiri",npd keras ngaku2 sendiri,NEGATIVE,0.3517,Lainnya
"Ada yang perhatiin gak sih pak pur sekarang kurusan, kenapa ya? Apa krna pusing mikirin nasib Keuangan Indonesia?",0,22 hours ago (edited),"Ada yang perhatiin gak sih pak pur sekarang kurusan, kenapa ya? Apa krna pusing mikirin nasib Keuangan Indonesia?",perhatiin pak pur sekarang kurusan kenapa apa krna pusing mikirin nasib keuangan indonesia,NEUTRAL,0.2638,
ada pesanan buat memecah belah bangsa,0,23 hours ago,ada pesanan buat memecah belah bangsa,pesanan buat memecah belah bangsa,POSITIVE,0.4512,Lainnya
Solusinya memang dana MBG harus di pangkas dan hanya diperuntukkan kepada siswa yang membutuhkan.,17,23 hours ago,Solusinya memang dana MBG harus di pangkas dan hanya diperuntukkan kepada siswa yang membutuhkan.,solusinya memang dana mbg pangkas hanya diperuntukkan kepada siswa membutuhkan,NEGATIVE,0.3286,Lainnya
"Saya berpendapat mereka sedang menganalisa ekonomi kita ,dmn dampak perang ,di negara lain cukup mengguncang negaranya ,merika sedang menganalisa pertahanan ekonomi kita ,,,saya sangat yakin sekali mereka itu NPD, di mana mereka sangat ingin sekali mengendalikan seluruh negara 2, semangat terus pak purbaya ,pertahankan kedaulatan ekonomi bangsa ini",2,23 hours ago,"Saya berpendapat mereka sedang menganalisa ekonomi kita ,dmn dampak perang ,di negara lain cukup mengguncang negaranya ,merika sedang menganalisa pertahanan ekonomi kita ,,,saya sangat yakin sekali mereka itu NPD, di mana mereka sangat ingin sekali mengendalikan seluruh negara 2, semangat terus pak purbaya ,pertahankan kedaulatan ekonomi bangsa ini",berpendapat sedang menganalisa ekonomi dmn dampak perang negara lain cukup mengguncang negaranya merika sedang menganalisa pertahanan ekonomi yakin sekali npd mana ingin sekali mengendalikan seluruh negara 2 semangat terus pak purbaya pertahankan kedaulatan ekonomi bangsa,NEGATIVE,0.2622,Kekhawatiran ekonomi
Mantap menkeu purbaya👍,0,23 hours ago,Mantap menkeu purbaya👍,mantap menkeu purbaya,NEUTRAL,0.2899,
Mending ngutang ke China drpd IMF boss,1,1 day ago,Mending ngutang ke China drpd IMF boss,mending ngutang china drpd imf boss,NEUTRAL,0.2539,
Alhamdulillah mantap 🇮🇩🎉🎉🎉🎉🎉,2,1 day ago,Alhamdulillah mantap 🇮🇩🎉🎉🎉🎉🎉,alhamdulillah mantap,POSITIVE,0.3091,Dukungan terhadap pemerintah
Lho kok keuangan negara kok orang lain bisa ikut ikutan bukannya itu termasuk rahasia negara,2,1 day ago,Lho kok keuangan negara kok orang lain bisa ikut ikutan bukannya itu termasuk rahasia negara,lho kok keuangan negara kok orang lain ikut ikutan bukannya termasuk rahasia negara,NEGATIVE,0.4092,Lainnya
"nilai tukar rupiah malah anjlok, ini mana yang bisa dipercaya omongannya?",2,1 day ago,"nilai tukar rupiah malah anjlok, ini mana yang bisa dipercaya omongannya?",nilai tukar rupiah malah anjlok mana dipercaya omongannya,NEGATIVE,0.3501,Skeptisisme terhadap pemerintah
mantap pak pur 👍❤,0,1 day ago,mantap pak pur 👍❤,mantap pak pur,NEUTRAL,0.289,
Hidup bpk menkeu purbaya 🇮🇩❤️💥🙏 Rahayu 🙏,0,1 day ago,Hidup bpk menkeu purbaya 🇮🇩❤️💥🙏 Rahayu 🙏,hidup bpk menkeu purbaya rahayu,NEGATIVE,0.244,Lainnya
Ini wifi saya atau wifi pak pur 😂😂,0,1 day ago,Ini wifi saya atau wifi pak pur 😂😂,wifi wifi pak pur,POSITIVE,0.2539,Lainnya
liat fakta Pak Emang ekonomi sedang tidak baik2 Malah MBG .KMP .IMF PAHAM,1,1 day ago,liat fakta Pak Emang ekonomi sedang tidak baik2 Malah MBG .KMP .IMF PAHAM,liat fakta pak memang ekonomi sedang baik2 malah mbg kmp imf paham,NEGATIVE,0.3306,Kekhawatiran ekonomi
"Harusnya pak pur Jd Menkeu 10th yg lalu, kasian baru jabat sudah pusing ngurusin benang ruwet warisan mulyono",2,1 day ago,"Harusnya pak pur Jd Menkeu 10th yg lalu, kasian baru jabat sudah pusing ngurusin benang ruwet warisan mulyono",harusnya pak pur jd menkeu 10th lalu kasian baru jabat pusing ngurusin benang ruwet warisan mulyono,NEGATIVE,0.4464,Lainnya
jangan menipu rakyat,0,1 day ago,jangan menipu rakyat,jangan menipu rakyat,POSITIVE,0.3878,Lainnya
"Hati2 Pak Purbaya, pihak World Bank dan IMF bisa melakukan serangan Finansial via pihak ketiga atau via jalur belakang.
Jgn percaya dg ucapan mereka",10,1 day ago,"Hati2 Pak Purbaya, pihak World Bank dan IMF bisa melakukan serangan Finansial via pihak ketiga atau via jalur belakang.
Jgn percaya dg ucapan mereka",hati2 pak purbaya pihak world bank imf melakukan serangan finansial via pihak ketiga via jalur belakang jgn percaya ucapan,NEGATIVE,0.5811,Kepercayaan pihak eksternal
Mantap pak purbaya❤,0,1 day ago,Mantap pak purbaya❤,mantap pak purbaya,NEUTRAL,0.2742,
